type,gene,db_xref,start,end,length,strand,product
CDS,fumC,GI:31792291,1227513,1228937,1426,-1,fumarate hydratase
CDS,none,GI:31792292,1228968,1229954,988,-1,hypothetical protein
CDS,none,GI:31792293,1230055,1230756,703,1,hypothetical protein
CDS,none,GI:31792294,1230763,1231791,1030,-1,hypothetical protein
CDS,none,GI:31792295,1232031,1232342,313,-1,hypothetical protein
CDS,none,GI:31792296,1232342,1232662,322,-1,hypothetical protein
CDS,none,GI:31792297,1232672,1233361,691,1,POSSIBLE PARA-NITROBENZYL ESTERASE (FRAGMENT)
CDS,none,GI:31792298,1233682,1234197,517,1,POSSIBLE PARA-NITROBENZYL ESTERASE (FRAGMENT)
CDS,none,GI:31792299,1234215,1235327,1114,-1,PROBABLE CHOLESTEROL DEHYDROGENASE
CDS,xseB,GI:31792300,1235337,1235594,259,-1,exodeoxyribonuclease VII small subunit
CDS,xseA,GI:31792301,1235584,1236831,1249,-1,exodeoxyribonuclease VII large subunit
CDS,none,GI:31792302,1236828,1237466,640,-1,hypothetical protein
CDS,lytB2,GI:31792303,1237556,1238563,1009,1,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
CDS,none,GI:31792304,1238580,1239563,985,-1,hypothetical protein
CDS,none,GI:31792305,1239626,1240699,1075,1,Probable GTP binding protein
CDS,none,GI:31792306,1240787,1240984,199,1,hypothetical protein
CDS,none,GI:31792307,1240981,1241355,376,1,hypothetical protein
CDS,none,GI:31792308,1241558,1242256,700,1,POSSIBLE EXPORTED PROTEIN
CDS,none,GI:31792309,1242374,1242559,187,1,hypothetical protein
CDS,none,GI:31792310,1242486,1242761,277,-1,CONSERVED HYPOTHETICAL PROTEIN (FRAGMENT)
CDS,none,GI:31792311,1243004,1243327,325,1,hypothetical protein
CDS,none,GI:31792312,1243342,1244202,862,-1,hypothetical protein
CDS,none,GI:31792313,1244235,1244384,151,-1,hypothetical protein
CDS,none,GI:31792314,1244381,1244875,496,-1,hypothetical protein
CDS,zwf1,GI:31792315,1245078,1246478,1402,1,glucose-6-phosphate 1-dehydrogenase
CDS,gnd2,GI:31792316,1246500,1247522,1024,1,6-phosphogluconate dehydrogenase
CDS,bpoB,GI:31792317,1247515,1248423,910,-1,POSSIBLE PEROXIDASE BPOB (NON-HAEM PEROXIDASE)
CDS,ephC,GI:31792318,1248498,1249448,952,1,PROBABLE EPOXIDE HYDROLASE EPHC (EPOXIDE HYDRATASE)
CDS,none,GI:31792319,1249453,1250697,1246,1,hypothetical protein
CDS,none,GI:31792320,1250701,1251306,607,-1,hypothetical protein
CDS,ppdK,GI:31792321,1251303,1252775,1474,-1,pyruvate phosphate dikinase
CDS,none,GI:31792322,1252988,1254343,1357,-1,hypothetical protein
CDS,none,GI:31792323,1254445,1255905,1462,-1,PROBABLE TRANSCRIPTIONAL REGULATOR PROTEIN
CDS,none,GI:31792324,1255926,1257506,1582,1,hypothetical protein
CDS,gltA1,GI:31792325,1257503,1258684,1183,1,citrate synthase
CDS,none,GI:31792326,1258696,1260426,1732,1,hypothetical protein
CDS,metE,GI:31792327,1260438,1262717,2281,-1,5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase
CDS,none,GI:31792328,1263293,1263529,238,1,hypothetical protein
CDS,PPE16,GI:31792329,1263643,1265499,1858,-1,PPE FAMILY PROTEIN
CDS,none,GI:31792330,1265685,1265927,244,1,POSSIBLE ACETYL-COA ACETYLTRANSFERASE (ACETOACETYL-COA THIOLASE)
CDS,none,GI:31792331,1265977,1266318,343,1,POSSIBLE ENOYL-COA HYDRATASE
CDS,none,GI:31792332,1266458,1266826,370,-1,hypothetical protein
CDS,none,GI:31792333,1266843,1267859,1018,-1,PUTATIVE OXIDOREDUCTASE
CDS,none,GI:31792334,1267856,1268356,502,-1,hypothetical protein
CDS,none,GI:31792335,1268718,1269566,850,1,PROBABLE INTEGRAL MEMBRANE PROTEIN
CDS,echA11,GI:31792336,1269574,1270380,808,-1,enoyl-CoA hydratase
CDS,echA10,GI:31792337,1270523,1271329,808,-1,enoyl-CoA hydratase
CDS,mcr,GI:31792338,1271433,1272515,1084,1,PROBABLE ALPHA-METHYLACYL-COA RACEMASE MCR (2-methylacyl-CoA racemase) (2-arylpropionyl-CoA epimerase )
CDS,none,GI:31792339,1272527,1273279,754,1,PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE
CDS,mmpL13,GI:31792340,1273794,1276139,2347,1,PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL13
CDS,none,GI:31792341,1276272,1276922,652,1,hypothetical protein
CDS,none,GI:31792342,1277672,1279120,1450,-1,hypothetical protein
CDS,none,GI:31792343,1279265,1279672,409,1,POSSIBLE TRANSPOSASE
CDS,none,GI:31792344,1280276,1280989,715,-1,NAD-dependent deacetylase
CDS,none,GI:31792345,1281027,1281392,367,1,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
CDS,omt,GI:31792346,1281370,1282218,850,-1,PROBABLE O-METHYLTRANSFERASE OMT
CDS,none,GI:31792347,1282215,1282856,643,-1,hypothetical protein
CDS,none,GI:31792348,1282801,1283244,445,1,hypothetical protein
CDS,none,GI:31792349,1283678,1284265,589,1,hypothetical protein
CDS,none,GI:31792350,1284428,1285543,1117,-1,"CONSERVED HYPOTHETICAL ALA-, PRO-RICH PROTEIN"
CDS,none,GI:31792351,1285551,1286234,685,-1,"CONSERVED HYPOTHETICAL ALA-, PRO-RICH PROTEIN"
CDS,none,GI:31792352,1286364,1287659,1297,1,CONSERVED TRANSMEMBRANE PROTEIN
CDS,none,GI:31792353,1287656,1287940,286,-1,pterin-4-alpha-carbinolamine dehydratase
CDS,mutT2,GI:31792354,1287967,1288392,427,1,"PROBABLE MUTATOR PROTEIN MUTT2 (7,8-dihydro-8-oxoguanine-triphosphatase) (8-OXO-DGTPASE)"
CDS,narG,GI:31792355,1288700,1292398,3700,1,PROBABLE RESPIRATORY NITRATE REDUCTASE (ALPHA CHAIN) NARG
CDS,narH,GI:31792356,1292437,1294113,1678,1,PROBABLE RESPIRATORY NITRATE REDUCTASE (BETA CHAIN) NARH
CDS,narJ,GI:31792357,1294170,1294775,607,1,PROBABLE RESPIRATORY NITRATE REDUCTASE (DELTA CHAIN) NARJ
CDS,narI,GI:31792358,1294778,1295518,742,1,PROBABLE RESPIRATORY NITRATE REDUCTASE (GAMMA CHAIN) NARI
CDS,typA,GI:31792359,1295540,1297426,1888,1,POSSIBLE GTP-BINDING TRANSLATION ELONGATION FACTOR TYPA (TYROSINE PHOSPHORYLATED PROTEIN A) (GTP-BINDING PROTEIN)
CDS,lpqW,GI:31792360,1297524,1299431,1909,1,PUTATIVE LIPOPROTEIN LPQW
CDS,none,GI:31792361,1299459,1300064,607,-1,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
CDS,PPE17a,GI:31792362,1300635,1301177,544,-1,PPE FAMILY PROTEIN [FIRST PART]
CDS,PE11,GI:31792363,1301195,1301497,304,-1,PE FAMILY PROTEIN
CDS,mshB,GI:31792364,1301677,1302588,913,1,N-Acetyl-1-D-myo-Inosityl-2-Amino-2-Deoxy-alpha- D-Glucopyranoside Deacetylase mshB (GlcNAc-Ins deacetylase)
CDS,none,GI:31792365,1302680,1303120,442,1,hypothetical protein
CDS,PE12,GI:31792366,1303128,1304054,928,-1,PE FAMILY PROTEIN
CDS,fbiC,GI:31792367,1304304,1306874,2572,1,hypothetical protein
CDS,none,GI:31792368,1306918,1307250,334,-1,hypothetical protein
CDS,fadH,GI:31792369,1307451,1309475,2026,-1,"PROBABLE NADPH DEPENDENT 2,4-DIENOYL-COA REDUCTASE FADH (2,4-dienoyl coenzyme A reductase) (4-enoyl-CoA reductase)"
CDS,none,GI:31792370,1309472,1310041,571,-1,hypothetical protein
CDS,fdxC,GI:31792371,1310254,1310580,328,1,PROBABLE FERREDOXIN FDXC
CDS,none,GI:31792372,1310613,1311701,1090,1,hypothetical protein
CDS,none,GI:31792373,1311729,1314548,2821,-1,hypothetical protein
CDS,pks3,GI:31792374,1314975,1321232,6259,1,PROBABLE POLYKETIDE BETA-KETOACYL SYNTHASE PKS3
CDS,papA3,GI:31792375,1321285,1322703,1420,1,PROBABLE CONSERVED POLYKETIDE SYNTHASE ASSOCIATED PROTEIN PAPA3
CDS,mmpL10,GI:31792376,1322770,1325778,3010,1,PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL10
CDS,none,GI:31792377,1325782,1326861,1081,-1,POSSIBLE EXPORTED PROTEIN
CDS,fadD21,GI:31792378,1327026,1328762,1738,-1,acyl-CoA synthase
CDS,none,GI:31792379,1328939,1330555,1618,-1,hypothetical protein
CDS,rocA,GI:31792380,1330640,1332271,1633,1,PROBABLE PYRROLINE-5-CARBOXYLATE DEHYDROGENASE ROCA
CDS,none,GI:31792381,1332271,1333260,991,1,PROBABLE PROLINE DEHYDROGENASE
CDS,sigI,GI:31792382,1333342,1334214,874,1,RNA polymerase sigma-70 factor
CDS,none,GI:31792383,1334230,1335108,880,1,hypothetical protein
CDS,none,GI:31792384,1335181,1336095,916,1,hypothetical protein
CDS,none,GI:31792385,1336177,1337004,829,1,hypothetical protein
CDS,fadD36,GI:31792386,1337044,1338465,1423,1,acyl-CoA synthase
CDS,none,GI:31792387,1338498,1339763,1267,-1,hypothetical protein
CDS,PE13,GI:31792388,1340253,1340552,301,1,PE FAMILY PROTEIN
CDS,PPE18,GI:31792389,1340599,1341771,1174,1,PPE FAMILY PROTEIN
CDS,esxK,GI:31792390,1341906,1342202,298,1,PUTATIVE ESAT-6 LIKE PROTEIN 3
CDS,esxL,GI:31792391,1342253,1342537,286,1,PUTATIVE ESAT-6 LIKE PROTEIN 4
CDS,none,GI:31792392,1342605,1343852,1249,-1,POSSIBLE TRANSPOSASE
CDS,none,GI:31792393,1344189,1345466,1279,1,PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN
CDS,none,GI:31792394,1345463,1346416,955,-1,PROBABLE TRANSFERASE
CDS,dapE,GI:31792395,1346507,1347571,1066,1,succinyl-diaminopimelate desuccinylase
CDS,none,GI:31792396,1347568,1348152,586,-1,hypothetical protein
CDS,none,GI:31792397,1348183,1349871,1690,-1,hypothetical protein
CDS,none,GI:31792398,1349966,1350529,565,1,hypothetical protein
CDS,fadD6,GI:31792399,1350579,1352372,1795,1,acyl-CoA synthase
CDS,folP2,GI:31792400,1352438,1353394,958,1,PROBABLE DIHYDROPTEROATE SYNTHASE 2 FOLP2 (DHPS 2) (Dihydropteroate pyrophosphorylase 2)
CDS,none,GI:31792401,1353391,1354365,976,1,hypothetical protein
CDS,none,GI:31792402,1354404,1354772,370,1,hypothetical protein
CDS,tagA,GI:31792403,1354769,1355383,616,1,"PROBABLE DNA-3-METHYLADENINE GLYCOSYLASE I TAGA (TAG I) (3-methyladenine-DNA glycosylase I, constitutive) (DNA-3-methyladenine glycosidase I )"
CDS,none,GI:31792404,1355490,1355717,229,1,hypothetical protein
CDS,none,GI:31792405,1355745,1356908,1165,-1,PUTATIVE GLYCOSYL TRANSFERASE
CDS,glgC,GI:31792406,1357083,1358297,1216,1,glucose-1-phosphate adenylyltransferase
CDS,PE14,GI:31792407,1358493,1358867,376,-1,PE FAMILY PROTEIN
CDS,none,GI:31792408,1359001,1360686,1687,-1,hypothetical protein
CDS,none,GI:31792409,1360714,1361388,676,-1,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
CDS,none,GI:31792410,1361397,1363043,1648,-1,PROBABLE TETRONASIN-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER
CDS,none,GI:31792411,1363040,1363975,937,-1,PROBABLE TETRONASIN-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER
CDS,none,GI:31792412,1363965,1364603,640,-1,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
CDS,none,GI:31792413,1364745,1365392,649,-1,PROBABLE METHYLTRANSFERASE
CDS,sigE,GI:31792414,1365655,1366428,775,1,RNA polymerase sigma-70 factor
CDS,none,GI:31792415,1366586,1367050,466,1,hypothetical protein
CDS,htrA,GI:31792416,1367119,1368705,1588,1,PROBABLE SERINE PROTEASE HTRA (DEGP PROTEIN)
CDS,tatB,GI:31792417,1368707,1369102,397,1,sec-independent translocase
CDS,none,GI:31792418,1369135,1369965,832,-1,hypothetical protein
CDS,none,GI:31792419,1370076,1371539,1465,-1,PROBABLE TRANSMEMBRANE PROTEIN
CDS,none,GI:31792420,1371536,1372069,535,-1,PROBABLE TRANSMEMBRANE PROTEIN
CDS,lpqX,GI:31792421,1372164,1372721,559,1,PUTATIVE LIPOPROTEIN LPQX
CDS,mrp,GI:31792422,1373021,1374193,1174,-1,PROBABLE MRP-RELATED PROTEIN MRP
CDS,none,GI:31792423,1374206,1375441,1237,-1,POSSIBLE MEMBRANE PROTEIN
CDS,none,GI:31792424,1375566,1376108,544,-1,PROBABLE MEMBRANE PROTEIN
CDS,none,GI:31792425,1376105,1377412,1309,-1,hypothetical protein
CDS,none,GI:31792426,1377474,1378070,598,-1,hypothetical protein
CDS,none,GI:31792427,1378220,1378747,529,1,PROBABLE TRANSMEMBRANE PROTEIN
CDS,lpqY,GI:31792428,1378768,1380174,1408,1,PROBABLE SUGAR-BINDING LIPOPROTEIN LPQY
CDS,sugA,GI:31792429,1380171,1381094,925,1,PROBABLE SUGAR-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER SUGA
CDS,sugB,GI:31792430,1381099,1381923,826,1,PROBABLE SUGAR-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER SUGB
CDS,sugC,GI:31792431,1381928,1383109,1183,1,PROBABLE SUGAR-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER SUGC
CDS,corA,GI:31792432,1383186,1384286,1102,-1,POSSIBLE MAGNESIUM AND COBALT TRANSPORT TRANSMEMBRANE PROTEIN CORA
CDS,mdh,GI:31792433,1384457,1385446,991,1,malate dehydrogenase
CDS,none,GI:31792434,1385522,1385782,262,1,hypothetical protein
CDS,none,GI:31792435,1385779,1386210,433,1,hypothetical protein
CDS,PE_PGRS23,GI:31792436,1386233,1387921,1690,-1,PE-PGRS FAMILY PROTEIN
CDS,lpqZ,GI:31792437,1388101,1388961,862,1,PUTATIVE LIPOPROTEIN LPQZ
CDS,none,GI:31792438,1389042,1389872,832,-1,PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE
CDS,none,GI:31792439,1389929,1390222,295,-1,hypothetical protein
CDS,none,GI:31792440,1390219,1390488,271,-1,hypothetical protein
CDS,kgd,GI:31792441,1390601,1394245,3646,-1,alpha-ketoglutarate decarboxylase
CDS,none,GI:31792442,1394438,1395226,790,-1,POSSIBLE MEMBRANE PROTEIN
CDS,none,GI:31792443,1395423,1397162,1741,1,PROBABLE DRUG-TRANSPORT INTEGRAL MEMBRANE PROTEIN
CDS,none,GI:31792444,1397065,1400484,3421,-1,hypothetical protein
CDS,lprE,GI:31792445,1400540,1401148,610,-1,PROBABLE LIPOPROTEIN LPRE
CDS,deaD,GI:31792446,1401214,1402905,1693,1,PROBABLE COLD-SHOCK DEAD-BOX PROTEIN A HOMOLOG DEAD (ATP-dependent RNA helicase deaD homolog)
CDS,none,GI:31792447,1402902,1404053,1153,1,PROBABLE ACYLTRANSFERASE
CDS,none,GI:31792448,1404022,1404321,301,-1,hypothetical protein
CDS,none,GI:31792449,1404318,1405577,1261,-1,PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN
CDS,none,GI:31792450,1405576,1406475,901,1,hypothetical protein
CDS,none,GI:31792451,1406477,1407301,826,1,hypothetical protein
CDS,none,GI:31792452,1407286,1407594,310,1,PROBABLE OXIDOREDUCTASE [SECOND PART]
CDS,none,GI:31792453,1407720,1408169,451,-1,hypothetical protein
CDS,none,GI:31792454,1408174,1408608,436,-1,HYPOTHETICAL HIT-LIKE PROTEIN
CDS,amiB2,GI:31792455,1408667,1410055,1390,1,amidase
CDS,none,GI:31792456,1410130,1411323,1195,1,ADENYLYL CYCLASE (ATP PYROPHOSPHATE-LYASE) (ADENYLATE CYCLASE)
CDS,none,GI:31792457,1411496,1412176,682,1,hypothetical protein
CDS,pknH,GI:31792458,1412196,1413986,1792,-1,PROBABLE TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE H PKNH (PROTEIN KINASE H) (STPK H)
CDS,embR,GI:31792459,1414327,1415493,1168,-1,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN EMBR
CDS,none,GI:31792460,1415804,1416502,700,-1,hypothetical protein
CDS,none,GI:31792461,1416725,1417099,376,-1,CONSERVED PROBABLE SECRETED PROTEIN
CDS,lprA,GI:31792462,1417160,1417894,736,-1,PUTATIVE LIPOPROTEIN LPRA
CDS,none,GI:31792463,1418107,1418448,343,-1,CONSERVED HYPOTHETICAL SECRETED PROTEIN
CDS,none,GI:31792464,1418556,1420451,1897,-1,PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER
CDS,none,GI:31792465,1420448,1422196,1750,-1,PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER
CDS,lprB,GI:31792466,1422343,1422900,559,1,PUTATIVE LIPOPROTEIN LPRB
CDS,lprC,GI:31792467,1422897,1423439,544,1,PUTATIVE LIPOPROTEIN LPRC
CDS,none,GI:31792468,1423584,1424060,478,-1,hypothetical protein
CDS,none,GI:31792469,1424310,1425563,1255,1,hypothetical protein
CDS,none,GI:31792470,1425560,1428187,2629,1,hypothetical protein
CDS,none,GI:31792471,1428208,1429794,1588,1,PROBABLE DEHYDROGENASE FAD flavoprotein GMC oxidoreductase
CDS,oppA,GI:31792472,1429811,1431586,1777,-1,PROBABLE PERIPLASMIC OLIGOPEPTIDE-BINDING LIPOPROTEIN OPPA
CDS,oppD,GI:31792473,1431579,1433417,1840,-1,PROBABLE OLIGOPEPTIDE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER OPPD
CDS,oppC,GI:31792474,1433414,1434289,877,-1,PROBABLE OLIGOPEPTIDE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER OPPC
CDS,oppB,GI:31792475,1434286,1435263,979,-1,PROBABLE OLIGOPEPTIDE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER OPPB
CDS,none,GI:31792476,1435470,1435961,493,1,hypothetical protein
CDS,cysD,GI:31792477,1436055,1437053,1000,1,sulfate adenylyltransferase subunit 2
CDS,cysN,GI:31792478,1437053,1438897,1846,1,binfunctional sulfate adenylyltransferase subunit 1/adenylylsulfate kinase protein
CDS,none,GI:31792479,1438951,1439436,487,1,hypothetical protein
CDS,none,GI:31792480,1439494,1440711,1219,1,hypothetical protein
CDS,none,GI:31792481,1440760,1441392,634,1,hypothetical protein
CDS,none,GI:31792482,1441531,1443096,1567,-1,hypothetical protein
CDS,none,GI:31792483,1443107,1443421,316,1,hypothetical protein
CDS,none,GI:31792484,1443548,1443883,337,-1,CONSERVED HYPOTHETICAL SECRETED PROTEIN
tRNA,argV,GeneID:1090609,1444242,1444314,74,-1,tRNA-Arg
CDS,argS,GI:31792485,1444428,1446080,1654,1,arginyl-tRNA synthetase
CDS,lysA,GI:31792486,1446077,1447420,1345,1,PROBABLE DIAMINOPIMELATE DECARBOXYLASE LYSA (DAP DECARBOXYLASE)
CDS,thrA,GI:31792487,1447424,1448749,1327,1,homoserine dehydrogenase
CDS,thrC,GI:31792488,1448746,1449828,1084,1,threonine synthase
CDS,thrB,GI:31792489,1450046,1450996,952,1,homoserine kinase
CDS,rho,GI:31792490,1451253,1453061,1810,1,transcription termination factor Rho
CDS,rpmE,GI:31792491,1453212,1453454,244,1,50S ribosomal protein L31
CDS,prfA,GI:31792492,1453544,1454617,1075,1,peptide chain release factor 1
CDS,hemK,GI:31792493,1454614,1455591,979,1,PROBABLE HEMK PROTEIN HOMOLOG HEMK
CDS,none,GI:31792494,1455607,1456260,655,1,hypothetical protein
CDS,rfe,GI:31792495,1456344,1457558,1216,1,PUTATIVE UNDECAPAPRENYL-PHOSPHATE ALPHA-N-ACETYLGLUCOSAMINYLTRANSFERASE RFE
CDS,none,GI:31792496,1457815,1458300,487,1,hypothetical protein
CDS,atpB,GI:31792497,1458293,1459045,754,1,ATP synthase subunit A
CDS,atpE,GI:31792498,1459094,1459339,247,1,ATP synthase subunit C
CDS,atpF,GI:31792499,1459370,1459885,517,1,ATP synthase subunit B
CDS,atpH,GI:31792500,1459892,1461232,1342,1,PROBABLE ATP SYNTHASE DELTA CHAIN ATPH
CDS,atpA,GI:31792501,1461277,1462926,1651,1,ATP synthase subunit A
CDS,atpG,GI:31792502,1462933,1463850,919,1,ATP synthase subunit C
CDS,atpD,GI:31792503,1463890,1465350,1462,1,ATP synthase subunit B
CDS,atpC,GI:31792504,1465364,1465729,367,1,ATP synthase subunit epsilon
CDS,none,GI:31792505,1465737,1466171,436,1,CONSERVED HYPOTHETICAL SECRETED PROTEIN
CDS,none,GI:31792506,1466218,1466949,733,-1,POSSIBLE TRANSPOSASE [SECOND PART]
CDS,none,GI:31792507,1466924,1467541,619,-1,POSSIBLE TRANSPOSASE [FIRST PART]
CDS,none,GI:31792508,1467707,1468288,583,-1,hypothetical protein
CDS,murA,GI:31792509,1468357,1469613,1258,1,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
rRNA,rrs,GeneID:1090640,1469882,1471418,1538,1,ribosomal RNA 16S
rRNA,rrl,GeneID:1091974,1471694,1474831,3139,1,ribosomal RNA 23S
rRNA,rrf,GeneID:1090641,1474935,1475049,116,1,ribosomal RNA 5S
CDS,ogt,GI:31792510,1475169,1475666,499,-1,PROBABLE METHYLATED-DNA--PROTEIN-CYSTEINE METHYLTRANSFERASE OGT (6-O-methylguanine-DNA methyltransferase) (O-6-methylguanine-DNA-alkyltransferase)
CDS,alkAb,GI:31792511,1475663,1476913,1252,-1,PUTATIVE ADA REGULATORY PROTEIN ALKAb [SECOND PART] (Regulatory protein of adaptative response) : Methylated-DNA--protein-cysteine methyltransferase (O-6-methylguanine-DNA alkyltransferase)
CDS,alkAa,GI:31792512,1476917,1477153,238,-1,PUTATIVE ADA REGULATORY PROTEIN ALKAa [FIRST PART] (Regulatory protein of adaptative response) : Methylated-DNA--protein-cysteine methyltransferase (O-6-methylguanine-DNA alkyltransferase)
CDS,none,GI:31792513,1477234,1478859,1627,-1,POSSIBLE ADENYLATE CYCLASE (ATP PYROPHOSPHATE-LYASE) (ADENYLYL CYCLASE)
CDS,none,GI:31792514,1478929,1480536,1609,-1,POSSIBLE ADENYLATE CYCLASE (ATP PYROPHOSPHATE-LYASE) (ADENYLYL CYCLASE)
CDS,none,GI:31792515,1480549,1482252,1705,-1,POSSIBLE ADENYLATE CYCLASE (ATP PYROPHOSPHATE-LYASE) (ADENYLYL CYCLASE)
CDS,none,GI:31792516,1482314,1482994,682,1,hypothetical protein
CDS,none,GI:31792517,1483017,1483313,298,1,hypothetical protein
CDS,none,GI:31792518,1483348,1483806,460,-1,hypothetical protein
CDS,fadA4,GI:31792519,1483897,1485066,1171,1,acetyl-CoA acetyltransferase
CDS,none,GI:31792520,1485196,1486110,916,1,POSSIBLE THIOREDOXIN
CDS,PE_PGRS24,GI:31792521,1486189,1488000,1813,-1,PE-PGRS FAMILY PROTEIN
CDS,glgB,GI:31792522,1488152,1490347,2197,-1,glycogen branching enzyme
CDS,glgE,GI:31792523,1490355,1492460,2107,-1,PROBABLE GLUCANASE GLGE
CDS,glgP,GI:31792524,1492599,1495190,2593,1,PROBABLE GLYCOGEN PHOSPHORYLASE GLGP
CDS,dinG,GI:31792525,1495230,1497224,1996,-1,PROBABLE ATP-DEPENDENT HELICASE DING HOMOLOG
CDS,none,GI:31792526,1497248,1498594,1348,-1,nicotinate phosphoribosyltransferase
CDS,clpS,GI:31792527,1498696,1499001,307,1,ATP-dependent Clp protease adaptor protein ClpS
CDS,none,GI:31792528,1498961,1499617,658,1,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
CDS,none,GI:31792529,1499634,1500668,1036,1,PROBABLE HYDROLASE
CDS,none,GI:31792530,1500676,1501116,442,1,hypothetical protein
CDS,none,GI:31792531,1501138,1501419,283,1,9.5 KDA CULTURE FILTRATE ANTIGEN CFP10A
CDS,cysM,GI:31792532,1501429,1502400,973,1,PROBABLE CYSTEINE SYNTHASE B CYSM (CSASE B) (O-acetylserine sulfhydrylase B) (O-acetylserine (Thiol)-lyase B)
CDS,none,GI:31792533,1502391,1503113,724,1,PROBABLE INTEGRAL MEMBRANE PROTEIN
CDS,murI,GI:31792534,1503110,1503925,817,1,glutamate racemase
CDS,none,GI:31792535,1503952,1504773,823,1,hypothetical protein
CDS,rph,GI:31792536,1504790,1505569,781,1,ribonuclease PH
CDS,none,GI:31792537,1505608,1506222,616,1,putative deoxyribonucleotide triphosphate pyrophosphatase
CDS,none,GI:31792538,1506219,1506581,364,-1,hypothetical protein
CDS,lprD,GI:31792539,1506578,1506958,382,-1,PROBABLE CONSERVED LIPOPROTEIN LPRD
CDS,none,GI:31792540,1507003,1507323,322,1,acyl carrier protein
CDS,fadD33,GI:31792541,1507316,1508881,1567,1,acyl-CoA synthase
CDS,fadE14,GI:31792542,1508881,1510041,1162,1,POSSIBLE ACYL-COA DEHYDROGENASE FADE14
CDS,none,GI:31792543,1510008,1510640,634,-1,hypothetical protein
tRNA,leuW,GeneID:1090673,1510763,1510846,85,1,tRNA-Leu
CDS,none,GI:31792544,1511082,1513661,2581,1,PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER
CDS,none,GI:31792545,1513658,1515397,1741,1,PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER
CDS,fabG,GI:31792546,1515526,1516269,745,1,3-ketoacyl-(acyl-carrier-protein) reductase
CDS,none,GI:31792547,1516266,1516595,331,1,hypothetical protein
CDS,none,GI:31792548,1516798,1517169,373,1,hypothetical protein
CDS,none,GI:31792549,1517235,1518020,787,-1,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
CDS,none,GI:31792550,1518040,1519911,1873,-1,hypothetical protein
CDS,moeY,GI:31792551,1519920,1522067,2149,-1,hypothetical protein
CDS,none,GI:31792552,1522064,1522855,793,-1,hypothetical protein
CDS,none,GI:31792553,1523328,1524251,925,-1,hypothetical protein
CDS,none,GI:31792554,1524647,1528126,3481,1,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
CDS,none,GI:31792555,1528208,1528960,754,1,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
CDS,none,GI:31792556,1529383,1530405,1024,1,PROBABLE OXIDOREDUCTASE
CDS,PPE19,GI:31792557,1530478,1531668,1192,-1,PPE FAMILY PROTEIN
CDS,none,GI:31792558,1531983,1532645,664,-1,POSSIBLE MEMBRANE PROTEIN
CDS,none,GI:31792559,1532642,1533427,787,-1,POSSIBLE MEMBRANE PROTEIN
CDS,none,GI:31792560,1533718,1535679,1963,-1,hypothetical protein
CDS,none,GI:31792561,1535818,1536204,388,-1,hypothetical protein
CDS,none,GI:31792562,1536425,1537246,823,1,hypothetical protein
CDS,none,GI:31792563,1537547,1538680,1135,-1,hypothetical protein
CDS,lprF,GI:31792564,1539055,1539840,787,1,PUTATIVE LIPOPROTEIN LPRF
CDS,none,GI:31792565,1540511,1541506,997,1,PROBABLE CONSERVED MEMBRANE PROTEIN
CDS,none,GI:31792566,1541503,1542684,1183,1,hypothetical protein
